Code,Hazard,Recode
10010000,P5D TR,0
10010100,CSDI P5D TR,1
10010110,CDD CSDI P5D TR,2
10100,CSDI P5D,3
10110,CDD CSDI P5D,4
1010110,CDD CSDI P5D SHI,5
1011110,CDD CSDI NTx35 P5D SHI,6
1001110,CDD CSDI NTx35 SHI,7
1110,CDD CSDI NTx35,8
1000110,CDD CSDI SHI,9
110,CDD CSDI,10
1111,AT CDD CSDI NTx35,11
1010100,CSDI P5D SHI,12
1000100,CSDI SHI,13
1100,CSDI NTx35,14
11110,CDD CSDI NTx35 P5D,15
11010100,CSDI P5D SHI TR,16
11100,CSDI NTx35 P5D,17
11010110,CDD CSDI P5D SHI TR,18
1001100,CSDI NTx35 SHI,19
100,CSDI,20
11000100,CSDI SHI TR,21
10000000,TR,22
0,None,23
10000100,CSDI TR,24
